user,latitude,longitude,check-in count,check-in-count
0,39.684997,-104.940162,10,10.0
0,39.743911,-104.972981,10,10.0
0,39.827022,-105.143191,22,22.0
0,39.891077,-105.068532,32,32.0
0,39.891383,-105.070814,15,15.0
1,37.579963,-122.343908,28,28.0
1,37.580304,-122.343679,67,67.0
10025,37.783171,-122.392901,34,34.0
10026,37.809996,-122.274768,69,69.0
10058,35.786822,-78.826007,10,10.0
10060,0.0,0.0,17,17.0
10126,42.345923,-71.08358,43,43.0
10126,42.365647,-71.108322,72,72.0
10127,27.944614,-82.471874,15,15.0
10128,0.0,0.0,13,13.0
10139,55.921929,-3.135095,115,115.0
10139,55.95,-3.2,277,277.0
10140,26.119102,-80.141317,27,27.0
10142,0.0,0.0,21,21.0
10155,40.908531,-74.511497,108,108.0
10156,42.258634,-87.840625,71,71.0
10163,0.0,0.0,58,58.0
10163,36.200055,-86.518605,50,50.0
10196,50.795933,4.417747,21,21.0
10197,0.0,0.0,26,26.0
10197,56.947365,24.06179,46,46.0
10198,0.0,0.0,207,207.0
10198,24.34115,124.1497,10,10.0
10198,24.345096,124.152892,12,12.0
10198,24.345968,124.161825,11,11.0
10198,26.216676,127.690681,10,10.0
10198,36.003309,139.288789,30,30.0
10200,0.0,0.0,78,78.0
10200,34.805156,135.400347,22,22.0
10202,35.720436,139.693496,14,14.0
10262,40.423282,-86.913962,11,11.0
10263,40.550907,-77.673049,36,36.0
10263,40.582904,-77.613128,19,19.0
10299,-6.332983,106.77841,51,51.0
10299,-6.268991,106.806039,27,27.0
10299,-6.196194,106.822148,51,51.0
10299,-6.123702,106.661536,21,21.0
10300,0.0,0.0,108,108.0
10313,0.0,0.0,31,31.0
10332,0.0,0.0,15,15.0
10332,42.493266,141.142929,10,10.0
10332,42.994732,141.349754,22,22.0
10332,43.044675,141.399252,16,16.0
10332,43.045995,141.397767,76,76.0
10332,43.155283,141.39832,11,11.0
10333,35.66113,139.708101,60,60.0
10333,35.667516,139.730561,29,29.0
10333,35.670485,139.71698,12,12.0
10333,35.671098,139.715746,134,134.0
10334,0.0,0.0,20,20.0
10334,26.313907,127.813259,14,14.0
10334,26.313962,127.813139,54,54.0
10334,31.598928,130.560799,10,10.0
10336,0.0,0.0,11,11.0
10336,34.720434,135.361936,29,29.0
10336,34.739052,135.31632,49,49.0
10336,34.740142,135.316543,29,29.0
10336,34.742587,135.314842,22,22.0
10337,0.0,0.0,23,23.0
10337,34.716667,135.416667,36,36.0
10337,34.732283,135.431376,50,50.0
10339,0.0,0.0,65,65.0
10339,31.592154,130.553043,562,562.0
10340,34.573262,135.482998,16,16.0
10341,35.539568,139.43889,11,11.0
10342,0.0,0.0,82,82.0
10342,37.669333,138.892995,10,10.0
10342,37.679079,138.88208,10,10.0
10343,0.0,0.0,48,48.0
10344,0.0,0.0,14,14.0
10345,35.373281,139.601451,15,15.0
10346,34.810229,135.445223,10,10.0
10346,34.826236,135.475001,45,45.0
10346,34.832424,135.469176,19,19.0
10346,34.83326,135.461324,297,297.0
10346,34.834021,135.469459,12,12.0
10346,34.836011,135.513868,12,12.0
10348,35.69941,139.771596,11,11.0
10348,36.0,138.0,217,217.0
10348,36.204824,138.252924,23,23.0
10348,37.3,140.0,38,38.0
10349,0.0,0.0,30,30.0
10349,35.712285,139.703782,13,13.0
10349,35.735928,139.629993,92,92.0
10350,0.0,0.0,16,16.0
10350,34.873439,136.917622,22,22.0
10350,35.161698,136.900752,59,59.0
10351,34.669882,135.528225,13,13.0
10351,35.67227,139.776382,41,41.0
10351,35.674617,139.777705,10,10.0
10351,35.676506,139.776385,21,21.0
10352,0.0,0.0,12,12.0
10352,35.607202,139.666594,11,11.0
10352,35.608585,139.6684,10,10.0
10352,35.609226,139.730186,113,113.0
10352,35.61523,139.6994,30,30.0
10352,35.615686,139.698866,11,11.0
10352,35.642408,139.713414,19,19.0
10353,0.0,0.0,37,37.0
10353,33.978947,131.856508,10,10.0
10353,35.654877,139.753558,11,11.0
10353,35.694929,139.703084,16,16.0
10353,35.705193,139.647676,14,14.0
10353,35.705385,139.649867,640,640.0
10353,35.705621,139.650017,15,15.0
10353,35.705637,139.751892,16,16.0
10353,35.895035,139.630735,15,15.0
10353,36.174852,139.193833,10,10.0
10353,36.446744,138.95916,10,10.0
10353,36.499654,138.925138,15,15.0
10353,36.499763,138.945495,10,10.0
10354,0.0,0.0,16,16.0
10354,35.660394,139.729218,27,27.0
10354,35.679033,139.786352,283,283.0
10354,35.694712,139.795681,18,18.0
10355,35.00309,135.759137,15,15.0
10355,35.00555,135.733446,24,24.0
10355,35.006761,135.770136,20,20.0
10355,35.008311,135.769227,21,21.0
10355,35.00877,135.767457,12,12.0
10355,35.051118,135.762238,38,38.0
10357,35.591719,139.675684,18,18.0
10357,35.642408,139.713414,14,14.0
10358,0.0,0.0,13,13.0
10358,31.6,130.55,29,29.0
10359,0.0,0.0,10,10.0
10362,35.689488,139.691706,22,22.0
10362,52.373084,4.899902,50,50.0
10362,55.752222,37.615556,11,11.0
10363,0.0,0.0,16,16.0
10363,31.591332,130.555077,177,177.0
10366,34.701909,135.494977,61,61.0
10366,34.910114,135.208363,106,106.0
10368,0.0,0.0,10,10.0
