User_A,User_B
0,1
0,3
0,4
0,6
0,7
0,11
0,12
0,14
0,15
0,18
0,19
0,21
0,23
0,38
0,40
0,42
0,46
1,0
1,3
1,4
1,7
1,23
1,38
1,40
1,42
1,46
1,123
1,124
3,0
3,1
3,4
3,6
3,7
3,11
3,38
3,42
3,46
3,123
3,124
3,143
3,144
3,146
3,154
3,159
3,208
3,209
3,210
3,211
3,212
3,213
3,215
3,216
3,218
3,219
3,220
3,221
3,222
3,224
3,225
3,226
3,228
3,229
3,231
3,232
3,233
3,235
3,237
3,238
3,241
3,242
3,244
3,246
3,247
3,248
3,250
3,251
3,252
3,259
3,262
3,263
3,267
3,268
3,269
3,271
3,272
3,279
3,281
3,282
3,283
3,284
3,294
3,296
3,299
3,301
3,329
3,335
4,0
4,1
4,3
4,7
4,11
4,23
4,38
4,42
4,46
4,123
4,124
6,0
6,3
6,40
6,552
7,0
7,1
7,3
7,4
7,11
7,23
7,38
7,40
7,42
7,123
7,124
7,144
7,146
7,149
7,154
7,159
7,163
7,209
7,212
7,215
7,218
7,226
7,229
7,235
7,241
7,246
7,267
7,268
7,279
7,282
7,294
7,301
7,620
7,624
7,626
7,627
7,628
7,632
7,633
7,637
7,638
7,643
7,646
7,651
7,652
7,654
7,661
7,663
7,668
7,680
7,686
7,710
11,0
11,3
11,4
11,7
11,23
11,38
11,40
11,42
11,46
11,123
11,124
11,149
11,232
11,851
11,853
11,854
12,0
12,14
12,40
12,652
12,876
12,878
12,880
14,0
14,12
14,143
14,144
14,156
14,218
14,237
14,263
14,282
14,283
14,651
14,1067
14,1068
14,1069
14,1076
14,1078
15,0
15,156
15,159
15,163
15,167
15,215
15,646
18,0
18,1239
19,0
19,167
21,0
21,680
23,0
23,1
23,4
23,7
23,11
23,38
23,40
23,42
23,46
23,123
38,0
38,1
38,3
38,4
38,7
38,11
38,23
38,42
38,123
40,0
40,1
40,6
40,7
40,11
40,12
40,23
40,42
40,46
40,123
40,143
40,144
40,146
40,149
40,154
40,156
40,158
40,159
40,163
40,167
40,208
40,209
40,210
40,211
40,212
40,213
40,215
40,218
40,219
40,220
40,221
40,222
40,226
40,229
40,231
40,232
40,235
40,237
40,241
40,246
40,248
40,252
40,262
40,263
40,267
40,272
40,279
40,281
40,282
40,294
40,301
40,620
40,621
40,623
40,626
40,628
40,629
40,632
40,633
40,637
40,638
40,646
40,648
40,651
40,661
40,668
40,680
40,686
40,833
40,854
40,876
40,1068
40,1069
40,1073
40,1076
40,1078
40,1141
40,1142
40,1444
40,1446
40,1448
40,1452
40,1460
40,1502
40,1521
40,1859
40,1863
40,1869
40,1878
40,1879
40,1880
40,1891
40,1896
40,1906
40,1914
40,1954
40,2134
40,2171
40,2172
40,2220
40,2805
40,2806
40,2807
40,2808
40,2810
40,2811
40,2812
40,2813
40,2814
40,2815
40,2816
40,2818
40,2819
40,2820
40,2821
40,2822
40,2823
40,2824
40,2825
40,2826
40,2829
40,2830
40,2832
40,2833
40,2835
40,2836
40,2838
40,2839
40,2840
40,2841
40,2842
40,2845
40,2846
40,2847
40,2848
40,2850
40,2851
40,2853
40,2855
40,2857
40,2858
40,2860
40,2861
40,2863
40,2865
40,2866
40,2867
40,2868
40,2869
40,2870
40,2874
40,2875
40,2876
40,2878
40,2879
40,2880
40,2881
40,2883
40,2884
40,2888
40,2889
40,2890
40,2892
40,2893
40,2894
40,2895
40,2896
40,2897
40,2899
40,2900
40,2901
40,2902
40,2904
40,2905
40,2907
40,2908
40,2912
40,2913
40,2914
40,2915
40,2916
40,2917
40,2918
40,2920
40,2922
40,2924
40,2925
40,2926
40,2927
40,2928
40,2931
40,2932
40,2933
40,2934
40,2935
40,2937
40,2941
40,2942
40,2945
40,2946
40,2947
40,2948
40,2950
40,2951
40,2954
40,2958
40,2959
40,2960
40,2964
40,2966
40,2969
40,2975
40,2976
40,2977
40,2978
40,2980
40,2981
40,2982
40,2983
40,2985
40,2986
40,2988
40,2989
40,2996
40,2998
40,3001
40,3006
40,3007
40,3008
40,3009
40,3010
40,3015
40,3016
40,3020
40,3025
40,3027
40,3032
40,3043
40,3044
40,3050
40,3052
40,3054
40,3067
40,3077
40,3108
40,3109
40,3121
40,3136
40,3159
42,0
42,1
42,3
42,4
42,7
42,11
42,23
42,38
42,40
42,46
42,123
42,124
42,143
42,149
42,154
42,159
42,215
42,216
42,226
42,235
42,241
42,296
42,626
42,652
42,654
42,680
42,2820
42,3595
42,3596
46,0
46,1
46,3
46,4
46,11
46,23
46,40
46,42
46,123
123,1
123,3
123,4
123,7
123,11
123,23
123,38
123,40
123,42
123,46
123,124
123,6535
124,1
124,3
124,4
124,7
124,11
124,42
124,123
124,149
124,159
124,210
124,279
143,3
143,14
143,40
143,42
143,144
143,146
143,149
143,156
143,159
143,163
143,167
143,208
143,209
143,212
143,213
143,215
143,216
143,218
143,219
143,220
143,222
143,226
143,231
143,235
143,237
143,246
143,262
143,263
143,283
143,301
143,620
143,626
143,637
143,646
143,648
143,651
143,652
143,654
143,833
143,853
143,875
143,878
143,1068
143,1069
143,1076
143,1444
143,1445
143,1446
143,1447
143,1460
143,1502
143,1864
143,1869
143,1913
143,2134
143,2820
143,2835
143,2836
143,2840
143,2841
143,2850
143,2857
143,2863
143,2879
143,2883
143,2896
143,2912
143,2918
143,2920
143,2958
143,2959
143,2966
143,2978
143,2998
143,3007
143,3032
143,3596
143,6191
143,6580
143,6582
143,6583
143,6587
143,6589
143,6594
143,6601
143,6602
143,6603
143,6605
143,6612
